,R1,R2,R3,L1,L2,L3
alpha,0.07,0.4,-0.83,1.79,0.37,-0.21
beta,0.62,-0.96,-2.24,-3.06,-3.1,-5.08
gamma,-17.89,-8.97,-6.57,-4.5,-5.85,-6.9
